emoji,Name,Description
👋,"hand", hello or greeting
💀,Skull,Used as a symbol of laughter
🤡,Clown,someone who is acting or saying something incredibly foolish
😭,Loudly crying,"exclusively used to indicate positive feelings, like when something is so funny, cute, or sweet that it’s totally overwhelming"
😅,Grinning face with sweat,"I’m stressed, but I’m fine."
👍,Thumbs up,Used to send a sarcastic or passive-aggressive message
🙏,Folded hands,Used as a way of saying thank you
🔥,Fire,"means something is lit, super stylish, or even hot (as in attractive) or sexy."
♻️,Recycle,When someone posts something that has already been said or shared before
👀,Eyes, a sign of interest and attentiveness
🙃,Upside-down face,code for “this is terrible” or FML.
⏳,Hourglass,Used it when someone is attractive
🙂,Slightly smiling face,"might might be used ironically to indicate a fake smile, such as one you’d use in awkward situations or when you’re feeling uncomfortable."
👁️👄👁️,"Eye, lips, eye",means “shocked” or “shocking.”
😗,Kissing face,means “sounds good to me” or even “ohhh.”
❤️,Heart,"younger generations are using fairy comments, or hard speech combined with “soft” emojis that lessen the blow. ❤️ might be paired with the word “no” to create a message that means “sorry, but no.” "
🤪,Zany face,"indicates that you’re being goofy, dorky, partying, or just in a really weird mood"
🧢,Cap,The word “cap” comes from the slang term “no cap” which means “no lie”.
💳💥💳💥💳💥,"Credit card, Spark,Credit card, Spark, Credit card, Spark","shut up and take my money, used by people when they see something they would like to buy for themselves in videos or pictures online"
👉👈,"Backhand index pointing right, backhand index pointing left","used to express shyness, almost as though you are twiddling your thumbs."
✨✨🧚🧚,"Sparkle, sparkle, fairy, fairy","Usually, the comments start out positive or sweet, then at least one word is highlighted by sparkles used to emphasise that particular word. However, what is being said is either negative, sassy or bad news of sorts but the fairy language helps soften the blow a little."
😙👌,"Kissing face, Ok hand",When something is really good.
💅,Nail polish,Showing that you are fancy
🐸☕,"Frog, Hot beverage","usually added at the end of a statement as a ""no further comment"" or ""but I won't expound because that ain't my business."""
🦦,Otter,"used as caption for when you're vibing, relaxing, or chilling, especially at the beach or on vacatio"
🧍,Person standing,"typically used to indicate you're speechless, or a less awkward ""I don't know how to respond to that."""
🅱️,B button," typically used to replace other consonants (particularly the letters B, D, G, K, and P) for no other reason than just random comedic effect."
🅿,Pushin’ p,"means you're feeling good, keeping it real, or having a good life. P would then stand for positivity, in an umbrella term sense."
🍁 ,Maple leaf, code for weed or marijuana
👀🕷️👀,"Spider, eye, spider",used to denote shock
🐐,goat,meaning the Greatest of All Time
🧎‍♀️🏌️‍♀️,"Woman kneeling, woman golfing",bonk
🤸🚆,"Cartwheel, train",embarrassed
💨🚣,"Dashing away, Man rowing boat",I’m heading out
😃 👉🚪,"Ginning face with big eyes, backhand index pointing left, door",You can leave
👩‍🍼🤾‍♀️🗑️,"Woman feeding baby, Woman playing handball, Wastebasket",No babies today
😃🖕,"Ginning face with big eyes, middle finger",Do I care?
🔫😃,"Water gun, ginning face with big eyes","Excuse me, what?"
🏃‍♀️💨,"Woman running, Dashing away",Time to leave
🍿🤏😯,"Popcorn, Pinching hand, Hushed face",When things are going down
🧍🚗💨,"Person standing, Automobile, Dashing away",Self explanatory
🦟🦗🦟🦗,"Mosquito, Cricket, Mosquito, Cricket",No particular meaning. Gen-z likes the combo and uses it because they find it funny. May also refer to twerking
🏃‍♀️🛺💨,"Woman running, Auto rickshaw, Dashing away",zoom
🕳️👩‍🦯,"Hole, Woman with cane","And suddenly, I’m blind"
👩‍🦽,Woman in manual wheel chair,Hey lol
🍑💨,"Peach, Dashing away",fart
✊😐,"Raised fist, Neutral face",nevenmind
🌚🌝,"New moon face, Full moon face",Se that bestie
🙄✋,"Face with rolling eyes, Raised hand","Chao, anyways"
🌜🤝🌛,"Last quarter moon face, Handshake, First quarter moon face",In a business deal
👨‍💻🧴,"Man technologist, Lotion bottle",I’m bussy bro
🧨☄️👩‍🦽,"Firecracker, Comet, Woman in manual wheel chair",Put it in reverse
🧃🐢,"Beverage box, Turtle",He snackin’
💪🐷 ,"Flexed biceps, Pig face",Mmmm strong
🚪👈😡,"Door, backhand index pointing left, Enraged face",You need to leave
🎷🐛,"Saxphone, Bug",jazz-music
🛏️🤺,"Bed, Person fencing",Get up
☺️💅,"Smiling face, Nail polish",Feeling pretty
"🪂
🕳️","Parachute, Hole",I’m out
👩🤏,"Woman, Pinching hand",Wig snatched
🕳️🎢,"Hole, Roller coaster",Bye
🚪🚶‍♀️ 🏌️‍♀️,"Door, Woman walking, Woman golfing",Get out
☝️😮,"Index pointing up, Face with open mouth",Hold up
🤳🤼,"Selfie, People wrestling",School fight
👉🙄👈,"backhand index pointing right, Face with rolling eyes, backhand index pointing left",Not listening
🤡🪞,"Clown, Mirror",Go look in the mirror
😎🕶️🤏🙂,"Smiling face with sunglasses, Sunglasses, Pinching hand, Slightly smiling face",Not cool
🐂💩,"Ox, Pile of poo",bullshit
👩‍🦽🧎‍♀️🦽,"Woman in manual wheel chair, Woman kneeling, Manual wheel chair",Damm i fell
🎤🦆,"Microphone, Duck",Who has something to say?
🔭🦔,"Telescope, Hedgehog",Stargazing
👂🤏👂,"Ear, Pinching hand, Ear",Huh I wasn’t listening
